,Country,Year,Index,Rank,Regional Indicator,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect
0,Afghanistan,2013,4.04,143,South Asia,3.572100401,7.680333138,0.48355186,52.0,0.577955365,0.062666222,0.8232041,0.547416985,0.273328096
1,Afghanistan,2015,3.575,153,South Asia,3.982854605,7.653833389,0.528597236,52.59999847,0.388927579,0.081652276,0.880638301,0.491409957,0.339276046
2,Afghanistan,2016,3.36,154,South Asia,4.220168591,7.650369644,0.559071779,52.92499924,0.522566199,0.043916017,0.793245554,0.501408756,0.348332286
3,Afghanistan,2017,3.794,141,South Asia,2.66171813,7.647830486,0.490880072,53.25,0.427010864,-0.11941047,0.954392552,0.435269952,0.371326178
4,Afghanistan,2018,3.632,145,South Asia,2.694303274,7.630800724,0.507515848,53.57500076,0.373535544,-0.091105983,0.927605689,0.384561479,0.404904395
5,Afghanistan,2019,3.203,154,South Asia,2.375091791,7.640085697,0.419972867,53.90000153,0.393656164,-0.10601645,0.923849106,0.324107826,0.502473712
6,Afghanistan,2021,2.523,149,South Asia,2.436034441,7.324032307,0.454174697,54.54999924,0.394305944,-0.081011124,0.946299374,0.178885803,0.60671258
7,Afghanistan,2022,2.404,146,South Asia,1.2812711,,0.228217229,54.875,0.368377149,,0.733197868,0.205867782,0.575511873
8,Albania,2013,5.55,62,Central and Eastern Europe,4.550647736,9.33814621,0.759476721,68.44000244,0.631830275,-0.128825098,0.862904966,0.54075098,0.338378578
9,Albania,2015,4.959,95,Central and Eastern Europe,4.606650829,9.382661819,0.639356136,69.0,0.703850687,-0.082491614,0.884793043,0.579071701,0.350426674
10,Albania,2016,4.655,109,Central and Eastern Europe,4.511100769,9.416872978,0.638411462,69.02500153,0.72981894,-0.018664083,0.901070774,0.567079723,0.321705997
11,Albania,2017,4.644,109,Central and Eastern Europe,4.639548302,9.455109596,0.637698293,69.05000305,0.74961102,-0.030505668,0.876134634,0.547240436,0.33388412
12,Albania,2018,4.586,112,Central and Eastern Europe,5.004402637,9.496984482,0.683591664,69.07499695,0.824212313,0.007197479,0.899129391,0.592044652,0.318996727
13,Albania,2019,4.719,107,Central and Eastern Europe,4.995317936,9.521909714,0.686364889,69.09999847,0.777351439,-0.10090977,0.914284289,0.548189282,0.273827374
14,Albania,2020,4.883,105,Central and Eastern Europe,5.364909649,9.492215157,0.710115016,69.125,0.75367105,0.004123116,0.891358972,0.563486159,0.265066117
15,Albania,2021,5.117,93,Central and Eastern Europe,5.25548172,9.58320713,0.70188278,69.15000153,0.827452719,0.041377552,0.896126628,0.553830087,0.25365448
16,Albania,2022,5.199,90,Central and Eastern Europe,5.212213039,9.626482964,0.724089622,69.17500305,0.802249789,-0.065987259,0.845501959,0.547125936,0.254825532
17,Algeria,2016,6.355,38,Middle East and North Africa,5.340853691,9.383312225,0.748588264,66.09999847,,,,0.565025926,0.377111971
18,Algeria,2017,5.872,53,Middle East and North Africa,5.248912334,9.37665844,0.806753874,66.19999695,0.436670482,-0.171470523,0.699774206,0.554528713,0.288710028
19,Algeria,2018,5.295,84,Middle East and North Africa,5.043086052,9.369553566,0.798651338,66.30000305,0.58338058,-0.150559127,0.758704126,0.533724844,0.292945564
20,Algeria,2019,5.211,88,Middle East and North Africa,4.744627476,9.361109734,0.803258657,66.40000153,0.385083437,0.000268438,0.740609348,0.544427812,0.215197757
21,Algeria,2020,5.005,100,Middle East and North Africa,5.437755108,9.291438103,0.8676489,66.5,0.573890686,-0.121147625,0.724263668,0.524169207,0.310629755
22,Algeria,2021,4.887,109,Middle East and North Africa,5.217017651,9.309262276,0.840710282,66.59999847,0.558486938,-0.113483414,0.711900055,0.498022288,0.257779151
23,Angola,2013,5.589,61,,3.937106848,8.999667168,0.721590757,52.45999908,0.409554869,-0.105991952,0.816375494,0.650046706,0.370875001
24,Argentina,2013,6.562,29,Latin America and Caribbean,6.582260132,10.1033268,0.909874201,66.66000366,0.737250388,-0.133838773,0.822900295,0.766156793,0.25420472
25,Argentina,2015,6.574,30,Latin America and Caribbean,6.69713068,10.08305073,0.926492274,66.90000153,0.881223679,-0.17755191,0.850906193,0.767845273,0.305354923
26,Argentina,2016,6.65,26,Latin America and Caribbean,6.427221298,10.05145645,0.882819116,66.94999695,0.847702205,-0.195432812,0.850924492,0.73173517,0.311646461
27,Argentina,2017,6.599,24,Latin America and Caribbean,6.039330006,10.06888008,0.906699121,67.0,0.831966162,-0.189600646,0.841052473,0.715182364,0.291717261
28,Argentina,2018,6.388,29,Latin America and Caribbean,5.792796612,10.03219891,0.899911582,67.05000305,0.845894694,-0.214172736,0.855255246,0.73206991,0.320502073
29,Argentina,2019,6.086,47,Latin America and Caribbean,6.085560799,10.00205326,0.89637053,67.09999847,0.817052603,-0.214476675,0.830459774,0.734905839,0.319054842
30,Argentina,2020,5.975,55,Latin America and Caribbean,5.900567055,9.887622833,0.897103846,67.15000153,0.823391616,-0.128546417,0.815780461,0.679316759,0.342496932
31,Argentina,2021,5.929,57,Latin America and Caribbean,5.908278942,9.977072716,0.882304549,67.19999695,0.819479346,-0.012197027,0.816256702,0.684860051,0.345131576
32,Argentina,2022,5.967,57,Latin America and Caribbean,6.260993481,10.01140499,0.893329561,67.25,0.825188935,-0.127506226,0.810037434,0.724068344,0.284279197
33,Armenia,2013,4.316,128,Commonwealth of Independent States,4.277191162,9.275876045,0.723260045,65.51999664,0.504081845,-0.198420092,0.899796784,0.502904475,0.449949831
34,Armenia,2015,4.35,127,Commonwealth of Independent States,4.34831953,9.350626945,0.722551048,66.0,0.551026642,-0.206866056,0.901462197,0.526852846,0.43794772
35,Armenia,2016,4.36,121,Commonwealth of Independent States,4.325471878,9.357068062,0.709218323,66.27500153,0.610986948,-0.175243273,0.921421051,0.515989423,0.437227815
36,Armenia,2017,4.376,121,Commonwealth of Independent States,4.287736416,9.434254646,0.697924912,66.55000305,0.613697052,-0.15228498,0.86468333,0.552406728,0.43714875
37,Armenia,2018,4.321,129,Commonwealth of Independent States,5.062448502,9.490350723,0.814449012,66.82499695,0.807643652,-0.168632939,0.676826358,0.535402834,0.454840273
38,Armenia,2019,4.559,116,Commonwealth of Independent States,5.4880867,9.569241524,0.781603873,67.09999847,0.844324112,-0.179026783,0.583472729,0.536562622,0.430463403
39,Armenia,2021,5.283,86,Commonwealth of Independent States,5.300568581,9.560512543,0.762044132,67.65000153,0.795169771,-0.156325892,0.705333829,0.565781593,0.477539957
40,Armenia,2022,5.399,82,Commonwealth of Independent States,5.381942749,9.667765617,0.811169267,67.92500305,0.789598525,-0.154325441,0.704730451,0.530931175,0.549468338
41,Australia,2013,7.35,10,North America and ANZ,7.364169121,10.75245476,0.928205192,70.44000244,0.933379173,0.265193403,0.431539029,0.770147145,0.177142262
42,Australia,2015,7.284,10,North America and ANZ,7.309060574,10.76990891,0.95186156,70.59999847,0.921871006,0.328289151,0.356554389,0.749503672,0.209636971
43,Australia,2016,7.313,9,North America and ANZ,7.250080109,10.78122902,0.942334235,70.67500305,0.922315717,0.23496674,0.398545116,0.735895514,0.236085787
44,Australia,2017,7.284,9,North America and ANZ,7.25703764,10.78726006,0.949957848,70.75,0.910550177,0.313770741,0.411346525,0.728149831,0.225360975
45,Australia,2018,7.272,10,North America and ANZ,7.17699337,10.8006525,0.940137267,70.82499695,0.916028142,0.142901212,0.404647499,0.705982745,0.187456369
46,Australia,2019,7.228,11,North America and ANZ,7.233994961,10.80728245,0.942774355,70.90000153,0.917536914,0.11690785,0.430208653,0.726976216,0.202190071
47,Australia,2020,7.223,12,North America and ANZ,7.137367725,10.79441643,0.936517,70.97499847,0.905282974,0.203258112,0.491094828,0.725688934,0.205077678
48,Australia,2021,7.183,11,North America and ANZ,7.111598969,10.81525517,0.91975528,71.05000305,0.912402213,0.236002743,0.453676045,0.739800155,0.235314175
49,Australia,2022,7.162,12,North America and ANZ,7.034696102,10.85352898,0.941673338,71.125,0.853776991,0.15346466,0.545216978,0.710771859,0.243919715
50,Austria,2013,7.369,8,Western Europe,7.498802662,10.87800503,0.949809194,70.19999695,0.921734452,0.164262667,0.678936899,0.725053191,0.162603319
51,Austria,2015,7.2,13,Western Europe,7.07644701,10.87566471,0.928110301,70.40000153,0.900305152,0.094909608,0.55747962,0.747707725,0.164469033
52,Austria,2016,7.119,12,Western Europe,7.048071861,10.88454914,0.926318586,70.52500153,0.888513982,0.075823404,0.52364099,0.713450849,0.197423846
53,Austria,2017,7.006,13,Western Europe,7.293727875,10.89993763,0.906217813,70.65000153,0.890030563,0.129277334,0.518303812,0.698889375,0.18026872
54,Austria,2018,7.139,12,Western Europe,7.396001816,10.91903114,0.911668122,70.77500153,0.904111981,0.049663041,0.52306056,0.694627702,0.226058796
55,Austria,2019,7.246,10,Western Europe,7.195361137,10.92964458,0.964488804,70.90000153,0.90342766,0.055960763,0.457088888,0.727341115,0.205169737
56,Austria,2020,7.294,9,Western Europe,7.213489056,10.85877609,0.924831212,71.02500153,0.911909878,0.006124678,0.463830173,0.716352284,0.206499651
57,Austria,2021,7.268,10,Western Europe,7.079640865,10.89898014,0.862975955,71.15000153,0.794845939,0.159445032,0.500808597,0.721865237,0.259080172
58,Austria,2022,7.163,11,Western Europe,6.998997211,10.93891716,0.876287401,71.27500153,0.855502605,0.139042094,0.524212122,0.717616439,0.226394817
59,Azerbaijan,2013,4.604,116,Commonwealth of Independent States,5.481178284,9.592310905,0.769690156,62.54000092,0.671956956,-0.171053559,0.698819578,0.516089082,0.242455453
60,Azerbaijan,2015,5.212,80,Commonwealth of Independent States,5.146774769,9.605931282,0.785702765,63.09999847,0.764289498,-0.201021776,0.615552545,0.520429969,0.206114277
61,Azerbaijan,2016,5.291,81,Commonwealth of Independent States,5.303894997,9.563261986,0.777271032,63.22499847,0.712573171,-0.20739381,0.606770813,0.508836508,0.191117197
62,Azerbaijan,2017,5.234,85,Commonwealth of Independent States,5.152279377,9.555447578,0.787039399,63.34999847,0.731030464,-0.228387043,0.652539015,0.511526883,0.19831866
63,Azerbaijan,2018,5.201,87,Commonwealth of Independent States,5.167995453,9.561672211,0.781229913,63.47499847,0.772449255,-0.234876037,0.561206281,0.527072668,0.191391662
64,Azerbaijan,2019,5.208,90,Commonwealth of Independent States,5.173389435,9.577898979,0.88675642,63.59999847,0.854248524,-0.217628807,0.457260668,0.576897144,0.163920254
